Week_end,Indicator,High_industry,Value
2/23/20,Number of paid jobs - 20 days,Z No Match,25820
2/23/20,Weekly earnings - median - 20 days,Total,1000
2/23/20,Weekly earnings - median - 20 days,A Primary,940
2/23/20,Weekly earnings - median - 20 days,B Goods Producing,1140
2/23/20,Weekly earnings - median - 20 days,C Services,969.05
2/23/20,Weekly earnings - median - 20 days,Z No Match,388.62
2/23/20,Weekly earnings - upper quartile - 20 days,Total,1426.14
2/23/20,Weekly earnings - upper quartile - 20 days,A Primary,1257.69
2/23/20,Weekly earnings - upper quartile - 20 days,B Goods Producing,1485.2
2/23/20,Weekly earnings - upper quartile - 20 days,C Services,1425.5
2/23/20,Weekly earnings - upper quartile - 20 days,Z No Match,672.65
2/23/20,Weekly earnings - lower quartile - 20 days,Total,640
2/23/20,Weekly earnings - lower quartile - 20 days,A Primary,597.25
2/23/20,Weekly earnings - lower quartile - 20 days,B Goods Producing,864.63
2/23/20,Weekly earnings - lower quartile - 20 days,C Services,592.45
2/23/20,Weekly earnings - lower quartile - 20 days,Z No Match,225
3/1/20,Number of paid jobs - 20 days,Total,1965200
3/1/20,Number of paid jobs - 20 days,A Primary,85200
3/1/20,Number of paid jobs - 20 days,B Goods Producing,359410
3/1/20,Number of paid jobs - 20 days,C Services,1491540
3/1/20,Number of paid jobs - 20 days,Z No Match,29040
3/1/20,Weekly earnings - median - 20 days,Total,1000
3/1/20,Weekly earnings - median - 20 days,A Primary,961.54
3/1/20,Weekly earnings - median - 20 days,B Goods Producing,1144.56
3/1/20,Weekly earnings - median - 20 days,C Services,969.23
3/1/20,Weekly earnings - median - 20 days,Z No Match,523.86
3/1/20,Weekly earnings - upper quartile - 20 days,Total,1430
3/1/20,Weekly earnings - upper quartile - 20 days,A Primary,1273.64
3/1/20,Weekly earnings - upper quartile - 20 days,B Goods Producing,1490.93
3/1/20,Weekly earnings - upper quartile - 20 days,C Services,1429.28
3/1/20,Weekly earnings - upper quartile - 20 days,Z No Match,810
3/1/20,Weekly earnings - lower quartile - 20 days,Total,641.63
3/1/20,Weekly earnings - lower quartile - 20 days,A Primary,627
3/1/20,Weekly earnings - lower quartile - 20 days,B Goods Producing,867.43
3/1/20,Weekly earnings - lower quartile - 20 days,C Services,589.75
3/1/20,Weekly earnings - lower quartile - 20 days,Z No Match,288.01
3/8/20,Number of paid jobs - 20 days,Total,1958880
3/8/20,Number of paid jobs - 20 days,A Primary,84930
3/8/20,Number of paid jobs - 20 days,B Goods Producing,358870
3/8/20,Number of paid jobs - 20 days,C Services,1483350
3/8/20,Number of paid jobs - 20 days,Z No Match,31720
3/8/20,Weekly earnings - median - 20 days,Total,1000
3/8/20,Weekly earnings - median - 20 days,A Primary,961.53
3/8/20,Weekly earnings - median - 20 days,B Goods Producing,1138.47
3/8/20,Weekly earnings - median - 20 days,C Services,965
3/8/20,Weekly earnings - median - 20 days,Z No Match,326.65
3/8/20,Weekly earnings - upper quartile - 20 days,Total,1424.69
3/8/20,Weekly earnings - upper quartile - 20 days,A Primary,1271.43
3/8/20,Weekly earnings - upper quartile - 20 days,B Goods Producing,1484.14
3/8/20,Weekly earnings - upper quartile - 20 days,C Services,1425.8
3/8/20,Weekly earnings - upper quartile - 20 days,Z No Match,721.22
3/8/20,Weekly earnings - lower quartile - 20 days,Total,632.59
3/8/20,Weekly earnings - lower quartile - 20 days,A Primary,629.32
3/8/20,Weekly earnings - lower quartile - 20 days,B Goods Producing,865.38
3/8/20,Weekly earnings - lower quartile - 20 days,C Services,581.88
3/8/20,Weekly earnings - lower quartile - 20 days,Z No Match,138
3/15/20,Number of paid jobs - 20 days,Total,1945710
3/15/20,Number of paid jobs - 20 days,A Primary,84950
3/15/20,Number of paid jobs - 20 days,B Goods Producing,358640
3/15/20,Number of paid jobs - 20 days,C Services,1475720
3/15/20,Number of paid jobs - 20 days,Z No Match,26400
3/15/20,Weekly earnings - median - 20 days,Total,1000
3/15/20,Weekly earnings - median - 20 days,A Primary,959.76
3/15/20,Weekly earnings - median - 20 days,B Goods Producing,1134
3/15/20,Weekly earnings - median - 20 days,C Services,975
3/15/20,Weekly earnings - median - 20 days,Z No Match,371.7
3/15/20,Weekly earnings - upper quartile - 20 days,Total,1434.5
3/15/20,Weekly earnings - upper quartile - 20 days,A Primary,1263.14
3/15/20,Weekly earnings - upper quartile - 20 days,B Goods Producing,1485.97
3/15/20,Weekly earnings - upper quartile - 20 days,C Services,1438
3/15/20,Weekly earnings - upper quartile - 20 days,Z No Match,708
3/15/20,Weekly earnings - lower quartile - 20 days,Total,636.61
3/15/20,Weekly earnings - lower quartile - 20 days,A Primary,615
3/15/20,Weekly earnings - lower quartile - 20 days,B Goods Producing,855
3/15/20,Weekly earnings - lower quartile - 20 days,C Services,591.06
3/15/20,Weekly earnings - lower quartile - 20 days,Z No Match,179.69
3/22/20,Number of paid jobs - 20 days,Total,1963670
3/22/20,Number of paid jobs - 20 days,A Primary,84540
3/22/20,Number of paid jobs - 20 days,B Goods Producing,358580
3/22/20,Number of paid jobs - 20 days,C Services,1477630
3/22/20,Number of paid jobs - 20 days,Z No Match,42920
3/22/20,Weekly earnings - median - 20 days,Total,990
3/22/20,Weekly earnings - median - 20 days,A Primary,950
3/22/20,Weekly earnings - median - 20 days,B Goods Producing,1128.13
3/22/20,Weekly earnings - median - 20 days,C Services,961.54
3/22/20,Weekly earnings - median - 20 days,Z No Match,485.49
3/22/20,Weekly earnings - upper quartile - 20 days,Total,1412.2
3/22/20,Weekly earnings - upper quartile - 20 days,A Primary,1260
3/22/20,Weekly earnings - upper quartile - 20 days,B Goods Producing,1477.79
3/22/20,Weekly earnings - upper quartile - 20 days,C Services,1417
3/22/20,Weekly earnings - upper quartile - 20 days,Z No Match,729.45
3/22/20,Weekly earnings - lower quartile - 20 days,Total,622.24
3/22/20,Weekly earnings - lower quartile - 20 days,A Primary,600
3/22/20,Weekly earnings - lower quartile - 20 days,B Goods Producing,856.43
3/22/20,Weekly earnings - lower quartile - 20 days,C Services,583.45
3/22/20,Weekly earnings - lower quartile - 20 days,Z No Match,269.21
3/29/20,Number of paid jobs - 20 days,Total,1929730
3/29/20,Number of paid jobs - 20 days,A Primary,81910
3/29/20,Number of paid jobs - 20 days,B Goods Producing,353890
3/29/20,Number of paid jobs - 20 days,C Services,1446190
3/29/20,Number of paid jobs - 20 days,Z No Match,47740
3/29/20,Weekly earnings - median - 20 days,Total,942.31
3/29/20,Weekly earnings - median - 20 days,A Primary,925.71
3/29/20,Weekly earnings - median - 20 days,B Goods Producing,1002.47
3/29/20,Weekly earnings - median - 20 days,C Services,940
3/29/20,Weekly earnings - median - 20 days,Z No Match,293.02
3/29/20,Weekly earnings - upper quartile - 20 days,Total,1363.4
3/29/20,Weekly earnings - upper quartile - 20 days,A Primary,1228.29
3/29/20,Weekly earnings - upper quartile - 20 days,B Goods Producing,1333.93
3/29/20,Weekly earnings - upper quartile - 20 days,C Services,1405.25
3/29/20,Weekly earnings - upper quartile - 20 days,Z No Match,566.4
3/29/20,Weekly earnings - lower quartile - 20 days,Total,585.8
3/29/20,Weekly earnings - lower quartile - 20 days,A Primary,585
3/29/20,Weekly earnings - lower quartile - 20 days,B Goods Producing,760
3/29/20,Weekly earnings - lower quartile - 20 days,C Services,582.04
3/29/20,Weekly earnings - lower quartile - 20 days,Z No Match,153.77
4/5/20,Number of paid jobs - 20 days,Total,1886590
4/5/20,Number of paid jobs - 20 days,A Primary,79070
4/5/20,Number of paid jobs - 20 days,B Goods Producing,341100
4/5/20,Number of paid jobs - 20 days,C Services,1421520
4/5/20,Number of paid jobs - 20 days,Z No Match,44900
4/5/20,Weekly earnings - median - 20 days,Total,916.82
4/5/20,Weekly earnings - median - 20 days,A Primary,950.4
4/5/20,Weekly earnings - median - 20 days,B Goods Producing,943.94
4/5/20,Weekly earnings - median - 20 days,C Services,920.25
4/5/20,Weekly earnings - median - 20 days,Z No Match,496.12
4/5/20,Weekly earnings - upper quartile - 20 days,Total,1346.15
4/5/20,Weekly earnings - upper quartile - 20 days,A Primary,1245.04
4/5/20,Weekly earnings - upper quartile - 20 days,B Goods Producing,1269.33
4/5/20,Weekly earnings - upper quartile - 20 days,C Services,1398.04
4/5/20,Weekly earnings - upper quartile - 20 days,Z No Match,722.93
4/5/20,Weekly earnings - lower quartile - 20 days,Total,585.8
4/5/20,Weekly earnings - lower quartile - 20 days,A Primary,605.51
4/5/20,Weekly earnings - lower quartile - 20 days,B Goods Producing,700
4/5/20,Weekly earnings - lower quartile - 20 days,C Services,585.6
4/5/20,Weekly earnings - lower quartile - 20 days,Z No Match,323.66
4/12/20,Number of paid jobs - 20 days,Total,1837170
4/12/20,Number of paid jobs - 20 days,A Primary,76700
4/12/20,Number of paid jobs - 20 days,B Goods Producing,342270
4/12/20,Number of paid jobs - 20 days,C Services,1384600
4/12/20,Number of paid jobs - 20 days,Z No Match,33600
4/12/20,Weekly earnings - median - 20 days,Total,920
4/12/20,Weekly earnings - median - 20 days,A Primary,966.34
4/12/20,Weekly earnings - median - 20 days,B Goods Producing,946.16
4/12/20,Weekly earnings - median - 20 days,C Services,920
4/12/20,Weekly earnings - median - 20 days,Z No Match,300
4/12/20,Weekly earnings - upper quartile - 20 days,Total,1346.15
4/12/20,Weekly earnings - upper quartile - 20 days,A Primary,1254
4/12/20,Weekly earnings - upper quartile - 20 days,B Goods Producing,1278.7
4/12/20,Weekly earnings - upper quartile - 20 days,C Services,1384.62
4/12/20,Weekly earnings - upper quartile - 20 days,Z No Match,585.8
4/12/20,Weekly earnings - lower quartile - 20 days,Total,585.8
4/12/20,Weekly earnings - lower quartile - 20 days,A Primary,634.62
4/12/20,Weekly earnings - lower quartile - 20 days,B Goods Producing,704
4/12/20,Weekly earnings - lower quartile - 20 days,C Services,585.8
4/12/20,Weekly earnings - lower quartile - 20 days,Z No Match,129.53
4/19/20,Number of paid jobs - 20 days,Total,1808110
4/19/20,Number of paid jobs - 20 days,A Primary,76340
4/19/20,Number of paid jobs - 20 days,B Goods Producing,338280
4/19/20,Number of paid jobs - 20 days,C Services,1367960
4/19/20,Number of paid jobs - 20 days,Z No Match,25530
4/19/20,Weekly earnings - median - 20 days,Total,911.05
4/19/20,Weekly earnings - median - 20 days,A Primary,945.9
4/19/20,Weekly earnings - median - 20 days,B Goods Producing,936.4
4/19/20,Weekly earnings - median - 20 days,C Services,906.57
4/19/20,Weekly earnings - median - 20 days,Z No Match,585.8
4/19/20,Weekly earnings - upper quartile - 20 days,Total,1334.68
4/19/20,Weekly earnings - upper quartile - 20 days,A Primary,1215.1
4/19/20,Weekly earnings - upper quartile - 20 days,B Goods Producing,1266
4/19/20,Weekly earnings - upper quartile - 20 days,C Services,1369
4/19/20,Weekly earnings - upper quartile - 20 days,Z No Match,855.75
4/19/20,Weekly earnings - lower quartile - 20 days,Total,585.8
4/19/20,Weekly earnings - lower quartile - 20 days,A Primary,625.42
4/19/20,Weekly earnings - lower quartile - 20 days,B Goods Producing,698.38
4/19/20,Weekly earnings - lower quartile - 20 days,C Services,585.8
4/19/20,Weekly earnings - lower quartile - 20 days,Z No Match,350
4/26/20,Number of paid jobs - 20 days,Total,1784420
4/26/20,Number of paid jobs - 20 days,A Primary,78010
4/26/20,Number of paid jobs - 20 days,B Goods Producing,334000
4/26/20,Number of paid jobs - 20 days,C Services,1346940
4/26/20,Number of paid jobs - 20 days,Z No Match,25460
4/26/20,Weekly earnings - median - 20 days,Total,905.85
4/26/20,Weekly earnings - median - 20 days,A Primary,957.82
4/26/20,Weekly earnings - median - 20 days,B Goods Producing,928
4/26/20,Weekly earnings - median - 20 days,C Services,903.51
4/26/20,Weekly earnings - median - 20 days,Z No Match,306.18
4/26/20,Weekly earnings - upper quartile - 20 days,Total,1334.5
4/26/20,Weekly earnings - upper quartile - 20 days,A Primary,1233.85
4/26/20,Weekly earnings - upper quartile - 20 days,B Goods Producing,1250.79
4/26/20,Weekly earnings - upper quartile - 20 days,C Services,1375
4/26/20,Weekly earnings - upper quartile - 20 days,Z No Match,687.96
4/26/20,Weekly earnings - lower quartile - 20 days,Total,585.8
4/26/20,Weekly earnings - lower quartile - 20 days,A Primary,626.58
4/26/20,Weekly earnings - lower quartile - 20 days,B Goods Producing,685.42
4/26/20,Weekly earnings - lower quartile - 20 days,C Services,585.61
4/26/20,Weekly earnings - lower quartile - 20 days,Z No Match,117.18
5/3/20,Number of paid jobs - 20 days,Total,1851600
5/3/20,Number of paid jobs - 20 days,A Primary,78970
5/3/20,Number of paid jobs - 20 days,B Goods Producing,336510
5/3/20,Number of paid jobs - 20 days,C Services,1398740
5/3/20,Number of paid jobs - 20 days,Z No Match,37380
5/3/20,Weekly earnings - median - 20 days,Total,929.42
5/3/20,Weekly earnings - median - 20 days,A Primary,960
5/3/20,Weekly earnings - median - 20 days,B Goods Producing,1032.45
5/3/20,Weekly earnings - median - 20 days,C Services,905.79
5/3/20,Weekly earnings - median - 20 days,Z No Match,564.01
5/3/20,Weekly earnings - upper quartile - 20 days,Total,1346.21
5/3/20,Weekly earnings - upper quartile - 20 days,A Primary,1250
5/3/20,Weekly earnings - upper quartile - 20 days,B Goods Producing,1362.5
5/3/20,Weekly earnings - upper quartile - 20 days,C Services,1363.3
5/3/20,Weekly earnings - upper quartile - 20 days,Z No Match,829.04
5/3/20,Weekly earnings - lower quartile - 20 days,Total,585.8
5/3/20,Weekly earnings - lower quartile - 20 days,A Primary,632.63
5/3/20,Weekly earnings - lower quartile - 20 days,B Goods Producing,775.2
5/3/20,Weekly earnings - lower quartile - 20 days,C Services,585
5/3/20,Weekly earnings - lower quartile - 20 days,Z No Match,258.92
5/10/20,Number of paid jobs - 20 days,Total,1928080
5/10/20,Number of paid jobs - 20 days,A Primary,80290
5/10/20,Number of paid jobs - 20 days,B Goods Producing,354500
5/10/20,Number of paid jobs - 20 days,C Services,1462970
5/10/20,Number of paid jobs - 20 days,Z No Match,30320
5/10/20,Weekly earnings - median - 20 days,Total,960
5/10/20,Weekly earnings - median - 20 days,A Primary,934.62
5/10/20,Weekly earnings - median - 20 days,B Goods Producing,1079.03
5/10/20,Weekly earnings - median - 20 days,C Services,926.15
5/10/20,Weekly earnings - median - 20 days,Z No Match,566.4
5/10/20,Weekly earnings - upper quartile - 20 days,Total,1384.62
5/10/20,Weekly earnings - upper quartile - 20 days,A Primary,1250
5/10/20,Weekly earnings - upper quartile - 20 days,B Goods Producing,1419
5/10/20,Weekly earnings - upper quartile - 20 days,C Services,1394.23
5/10/20,Weekly earnings - upper quartile - 20 days,Z No Match,805.61
5/10/20,Weekly earnings - lower quartile - 20 days,Total,585.8
5/10/20,Weekly earnings - lower quartile - 20 days,A Primary,615.38
5/10/20,Weekly earnings - lower quartile - 20 days,B Goods Producing,810.75
5/10/20,Weekly earnings - lower quartile - 20 days,C Services,585.8
5/10/20,Weekly earnings - lower quartile - 20 days,Z No Match,289.77
5/17/20,Number of paid jobs - 20 days,Total,1937220
5/17/20,Number of paid jobs - 20 days,A Primary,80420
5/17/20,Number of paid jobs - 20 days,B Goods Producing,354750
5/17/20,Number of paid jobs - 20 days,C Services,1463200
5/17/20,Number of paid jobs - 20 days,Z No Match,38850
5/17/20,Weekly earnings - median - 20 days,Total,961.54
5/17/20,Weekly earnings - median - 20 days,A Primary,932.75
5/17/20,Weekly earnings - median - 20 days,B Goods Producing,1091.03
5/17/20,Weekly earnings - median - 20 days,C Services,937.69
5/17/20,Weekly earnings - median - 20 days,Z No Match,495.85
5/17/20,Weekly earnings - upper quartile - 20 days,Total,1390.77
5/17/20,Weekly earnings - upper quartile - 20 days,A Primary,1247.42
5/17/20,Weekly earnings - upper quartile - 20 days,B Goods Producing,1431
5/17/20,Weekly earnings - upper quartile - 20 days,C Services,1401.5
5/17/20,Weekly earnings - upper quartile - 20 days,Z No Match,752.07
5/17/20,Weekly earnings - lower quartile - 20 days,Total,591
5/17/20,Weekly earnings - lower quartile - 20 days,A Primary,614.64
5/17/20,Weekly earnings - lower quartile - 20 days,B Goods Producing,829.5
5/17/20,Weekly earnings - lower quartile - 20 days,C Services,585.8
5/17/20,Weekly earnings - lower quartile - 20 days,Z No Match,280
5/24/20,Number of paid jobs - 20 days,Total,1946440
5/24/20,Number of paid jobs - 20 days,A Primary,80800
5/24/20,Number of paid jobs - 20 days,B Goods Producing,355340
5/24/20,Number of paid jobs - 20 days,C Services,1465060
5/24/20,Number of paid jobs - 20 days,Z No Match,45250
5/24/20,Weekly earnings - median - 20 days,Total,971.15
5/24/20,Weekly earnings - median - 20 days,A Primary,954.29
5/24/20,Weekly earnings - median - 20 days,B Goods Producing,1100
5/24/20,Weekly earnings - median - 20 days,C Services,946.19
5/24/20,Weekly earnings - median - 20 days,Z No Match,604.51
5/24/20,Weekly earnings - upper quartile - 20 days,Total,1392
5/24/20,Weekly earnings - upper quartile - 20 days,A Primary,1259.6
5/24/20,Weekly earnings - upper quartile - 20 days,B Goods Producing,1440.75
5/24/20,Weekly earnings - upper quartile - 20 days,C Services,1400
5/24/20,Weekly earnings - upper quartile - 20 days,Z No Match,891.83
5/24/20,Weekly earnings - lower quartile - 20 days,Total,606.38
5/24/20,Weekly earnings - lower quartile - 20 days,A Primary,636.24
5/24/20,Weekly earnings - lower quartile - 20 days,B Goods Producing,840
5/24/20,Weekly earnings - lower quartile - 20 days,C Services,585.8
5/24/20,Weekly earnings - lower quartile - 20 days,Z No Match,393.05
5/31/20,Number of paid jobs - 20 days,Total,1948410
5/31/20,Number of paid jobs - 20 days,A Primary,80750
5/31/20,Number of paid jobs - 20 days,B Goods Producing,355740
5/31/20,Number of paid jobs - 20 days,C Services,1465920
5/31/20,Number of paid jobs - 20 days,Z No Match,46010
5/31/20,Weekly earnings - median - 20 days,Total,976
5/31/20,Weekly earnings - median - 20 days,A Primary,935
5/31/20,Weekly earnings - median - 20 days,B Goods Producing,1092.92
5/31/20,Weekly earnings - median - 20 days,C Services,955.5
5/31/20,Weekly earnings - median - 20 days,Z No Match,641.43
5/31/20,Weekly earnings - upper quartile - 20 days,Total,1394.23
5/31/20,Weekly earnings - upper quartile - 20 days,A Primary,1253.85
5/31/20,Weekly earnings - upper quartile - 20 days,B Goods Producing,1428.13
5/31/20,Weekly earnings - upper quartile - 20 days,C Services,1405.99
5/31/20,Weekly earnings - upper quartile - 20 days,Z No Match,929.41
5/31/20,Weekly earnings - lower quartile - 20 days,Total,616.5
5/31/20,Weekly earnings - lower quartile - 20 days,A Primary,620.88
5/31/20,Weekly earnings - lower quartile - 20 days,B Goods Producing,840
5/31/20,Weekly earnings - lower quartile - 20 days,C Services,585.8
5/31/20,Weekly earnings - lower quartile - 20 days,Z No Match,400.16
6/7/20,Number of paid jobs - 20 days,Total,1951300
6/7/20,Number of paid jobs - 20 days,A Primary,80020
6/7/20,Number of paid jobs - 20 days,B Goods Producing,355760
6/7/20,Number of paid jobs - 20 days,C Services,1470860
6/7/20,Number of paid jobs - 20 days,Z No Match,44650
6/7/20,Weekly earnings - median - 20 days,Total,990
6/7/20,Weekly earnings - median - 20 days,A Primary,949.05
6/7/20,Weekly earnings - median - 20 days,B Goods Producing,1106.25
6/7/20,Weekly earnings - median - 20 days,C Services,964.5
6/7/20,Weekly earnings - median - 20 days,Z No Match,632.66
6/7/20,Weekly earnings - upper quartile - 20 days,Total,1406.65
6/7/20,Weekly earnings - upper quartile - 20 days,A Primary,1256.27
6/7/20,Weekly earnings - upper quartile - 20 days,B Goods Producing,1442.7
6/7/20,Weekly earnings - upper quartile - 20 days,C Services,1421.7
6/7/20,Weekly earnings - upper quartile - 20 days,Z No Match,920.34
6/7/20,Weekly earnings - lower quartile - 20 days,Total,623.39
6/7/20,Weekly earnings - lower quartile - 20 days,A Primary,623.58
6/7/20,Weekly earnings - lower quartile - 20 days,B Goods Producing,843.32
6/7/20,Weekly earnings - lower quartile - 20 days,C Services,585.8
6/7/20,Weekly earnings - lower quartile - 20 days,Z No Match,396.58
6/14/20,Number of paid jobs - 20 days,Total,1948400
6/14/20,Number of paid jobs - 20 days,A Primary,79140
6/14/20,Number of paid jobs - 20 days,B Goods Producing,354670
6/14/20,Number of paid jobs - 20 days,C Services,1469420
6/14/20,Number of paid jobs - 20 days,Z No Match,45160
6/14/20,Weekly earnings - median - 20 days,Total,989.22
6/14/20,Weekly earnings - median - 20 days,A Primary,959.17
6/14/20,Weekly earnings - median - 20 days,B Goods Producing,1115.38
6/14/20,Weekly earnings - median - 20 days,C Services,961.54
6/14/20,Weekly earnings - median - 20 days,Z No Match,637.35
6/14/20,Weekly earnings - upper quartile - 20 days,Total,1411.79
6/14/20,Weekly earnings - upper quartile - 20 days,A Primary,1262.02
6/14/20,Weekly earnings - upper quartile - 20 days,B Goods Producing,1456.31
6/14/20,Weekly earnings - upper quartile - 20 days,C Services,1423.2
6/14/20,Weekly earnings - upper quartile - 20 days,Z No Match,923.08
6/14/20,Weekly earnings - lower quartile - 20 days,Total,624
6/14/20,Weekly earnings - lower quartile - 20 days,A Primary,650.89
6/14/20,Weekly earnings - lower quartile - 20 days,B Goods Producing,850
6/14/20,Weekly earnings - lower quartile - 20 days,C Services,585.8
6/14/20,Weekly earnings - lower quartile - 20 days,Z No Match,396.48
6/21/20,Number of paid jobs - 20 days,Total,1937140
6/21/20,Number of paid jobs - 20 days,A Primary,78400
6/21/20,Number of paid jobs - 20 days,B Goods Producing,351800
6/21/20,Number of paid jobs - 20 days,C Services,1461120
6/21/20,Number of paid jobs - 20 days,Z No Match,45820
6/21/20,Weekly earnings - median - 20 days,Total,989.01
6/21/20,Weekly earnings - median - 20 days,A Primary,936
6/21/20,Weekly earnings - median - 20 days,B Goods Producing,1105
6/21/20,Weekly earnings - median - 20 days,C Services,964.46
6/21/20,Weekly earnings - median - 20 days,Z No Match,633.81
6/21/20,Weekly earnings - upper quartile - 20 days,Total,1412.5
6/21/20,Weekly earnings - upper quartile - 20 days,A Primary,1253.85
6/21/20,Weekly earnings - upper quartile - 20 days,B Goods Producing,1442.31
6/21/20,Weekly earnings - upper quartile - 20 days,C Services,1430.94
6/21/20,Weekly earnings - upper quartile - 20 days,Z No Match,922.06
6/21/20,Weekly earnings - lower quartile - 20 days,Total,624
6/21/20,Weekly earnings - lower quartile - 20 days,A Primary,607.95
6/21/20,Weekly earnings - lower quartile - 20 days,B Goods Producing,841.99
6/21/20,Weekly earnings - lower quartile - 20 days,C Services,585.8
6/21/20,Weekly earnings - lower quartile - 20 days,Z No Match,393.58
6/28/20,Number of paid jobs - 20 days,Total,1927330
6/28/20,Number of paid jobs - 20 days,A Primary,77640
6/28/20,Number of paid jobs - 20 days,B Goods Producing,349720
6/28/20,Number of paid jobs - 20 days,C Services,1453430
6/28/20,Number of paid jobs - 20 days,Z No Match,46540
6/28/20,Weekly earnings - median - 20 days,Total,998
6/28/20,Weekly earnings - median - 20 days,A Primary,940.5
6/28/20,Weekly earnings - median - 20 days,B Goods Producing,1112
6/28/20,Weekly earnings - median - 20 days,C Services,975
6/28/20,Weekly earnings - median - 20 days,Z No Match,635.8
6/28/20,Weekly earnings - upper quartile - 20 days,Total,1423
6/28/20,Weekly earnings - upper quartile - 20 days,A Primary,1253.85
6/28/20,Weekly earnings - upper quartile - 20 days,B Goods Producing,1453.75
6/28/20,Weekly earnings - upper quartile - 20 days,C Services,1440.18
6/28/20,Weekly earnings - upper quartile - 20 days,Z No Match,923.3
6/28/20,Weekly earnings - lower quartile - 20 days,Total,634.05
6/28/20,Weekly earnings - lower quartile - 20 days,A Primary,612.5
6/28/20,Weekly earnings - lower quartile - 20 days,B Goods Producing,846.36
6/28/20,Weekly earnings - lower quartile - 20 days,C Services,592.07
6/28/20,Weekly earnings - lower quartile - 20 days,Z No Match,394.64
7/5/20,Number of paid jobs - 20 days,Total,1924270
7/5/20,Number of paid jobs - 20 days,A Primary,78020
7/5/20,Number of paid jobs - 20 days,B Goods Producing,350280
7/5/20,Number of paid jobs - 20 days,C Services,1448320
7/5/20,Number of paid jobs - 20 days,Z No Match,47640
7/5/20,Weekly earnings - median - 20 days,Total,999.09
7/5/20,Weekly earnings - median - 20 days,A Primary,952.01
7/5/20,Weekly earnings - median - 20 days,B Goods Producing,1116
7/5/20,Weekly earnings - median - 20 days,C Services,973.35
7/5/20,Weekly earnings - median - 20 days,Z No Match,638.21
7/5/20,Weekly earnings - upper quartile - 20 days,Total,1424.8
7/5/20,Weekly earnings - upper quartile - 20 days,A Primary,1251.92
7/5/20,Weekly earnings - upper quartile - 20 days,B Goods Producing,1460.74
7/5/20,Weekly earnings - upper quartile - 20 days,C Services,1442
7/5/20,Weekly earnings - upper quartile - 20 days,Z No Match,928.76
7/5/20,Weekly earnings - lower quartile - 20 days,Total,630
7/5/20,Weekly earnings - lower quartile - 20 days,A Primary,633.21
7/5/20,Weekly earnings - lower quartile - 20 days,B Goods Producing,851.85
7/5/20,Weekly earnings - lower quartile - 20 days,C Services,585.8
7/5/20,Weekly earnings - lower quartile - 20 days,Z No Match,389.25
7/12/20,Number of paid jobs - 20 days,Total,1919450
7/12/20,Number of paid jobs - 20 days,A Primary,78600
7/12/20,Number of paid jobs - 20 days,B Goods Producing,350210
7/12/20,Number of paid jobs - 20 days,C Services,1444620
7/12/20,Number of paid jobs - 20 days,Z No Match,46020
7/12/20,Weekly earnings - median - 20 days,Total,1000
7/12/20,Weekly earnings - median - 20 days,A Primary,955.77
7/12/20,Weekly earnings - median - 20 days,B Goods Producing,1115.38
7/12/20,Weekly earnings - median - 20 days,C Services,980.77
7/12/20,Weekly earnings - median - 20 days,Z No Match,640.13
7/12/20,Weekly earnings - upper quartile - 20 days,Total,1427
7/12/20,Weekly earnings - upper quartile - 20 days,A Primary,1253.85
7/12/20,Weekly earnings - upper quartile - 20 days,B Goods Producing,1458
7/12/20,Weekly earnings - upper quartile - 20 days,C Services,1442.31
7/12/20,Weekly earnings - upper quartile - 20 days,Z No Match,928.22
7/12/20,Weekly earnings - lower quartile - 20 days,Total,642.6
7/12/20,Weekly earnings - lower quartile - 20 days,A Primary,643.66
7/12/20,Weekly earnings - lower quartile - 20 days,B Goods Producing,851.08
7/12/20,Weekly earnings - lower quartile - 20 days,C Services,597.91
7/12/20,Weekly earnings - lower quartile - 20 days,Z No Match,399.16
7/19/20,Number of paid jobs - 20 days,Total,1926450
7/19/20,Number of paid jobs - 20 days,A Primary,78420
7/19/20,Number of paid jobs - 20 days,B Goods Producing,350200
7/19/20,Number of paid jobs - 20 days,C Services,1451300
7/19/20,Number of paid jobs - 20 days,Z No Match,46540
7/19/20,Weekly earnings - median - 20 days,Total,1000
7/19/20,Weekly earnings - median - 20 days,A Primary,942.31
7/19/20,Weekly earnings - median - 20 days,B Goods Producing,1118.75
7/19/20,Weekly earnings - median - 20 days,C Services,985.24
7/19/20,Weekly earnings - median - 20 days,Z No Match,637.42
7/19/20,Weekly earnings - upper quartile - 20 days,Total,1437.65
7/19/20,Weekly earnings - upper quartile - 20 days,A Primary,1250
7/19/20,Weekly earnings - upper quartile - 20 days,B Goods Producing,1461.75
7/19/20,Weekly earnings - upper quartile - 20 days,C Services,1450.76
7/19/20,Weekly earnings - upper quartile - 20 days,Z No Match,924.88
7/19/20,Weekly earnings - lower quartile - 20 days,Total,639.63
7/19/20,Weekly earnings - lower quartile - 20 days,A Primary,604.74
7/19/20,Weekly earnings - lower quartile - 20 days,B Goods Producing,854.78
7/19/20,Weekly earnings - lower quartile - 20 days,C Services,595
7/19/20,Weekly earnings - lower quartile - 20 days,Z No Match,394.11
7/26/20,Number of paid jobs - 20 days,Total,1930900
7/26/20,Number of paid jobs - 20 days,A Primary,78930
7/26/20,Number of paid jobs - 20 days,B Goods Producing,350620
7/26/20,Number of paid jobs - 20 days,C Services,1454200
